Date : 2021-04-06 19:25:48
Directory : c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\
Total : 345 files,  35713 codes, 779 comments, 3514 blanks, all 40006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        345 |     35,713 |        779 |      3,514 |     40,006 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| app\home\approved\admin\admin_reports\centers_reports                                                                                                           |          5 |        480 |          3 |         54 |        537 |
| app\home\approved\admin\admin_reports\t__center_attendance                                                                                                      |          4 |        358 |          0 |         46 |        404 |
| app\home\approved\admin\admin_reports\t_attendance                                                                                                              |          3 |        392 |          0 |         32 |        424 |
| app\home\approved\admin\admin_requests                                                                                                                          |          5 |        735 |         11 |         70 |        816 |
| app\home\approved\admin\admin_students                                                                                                                          |          5 |        940 |          7 |         74 |      1,021 |
| app\home\approved\admin\admin_supervisors                                                                                                                       |          5 |        863 |        116 |         80 |      1,059 |
| app\home\approved\admin\admin_teachers                                                                                                                          |         11 |      1,565 |         14 |        140 |      1,719 |
| app\home\approved\admin\admin_teachers\teacher_profile                                                                                                          |          6 |        595 |          1 |         60 |        656 |
| app\home\approved\common_screens                                                                                                                                |         41 |      5,283 |        100 |        476 |      5,859 |
| app\home\approved\common_screens\conversation                                                                                                                   |         10 |        702 |         16 |         84 |        802 |
| app\home\approved\common_screens\conversation\chat                                                                                                              |          6 |        477 |         14 |         59 |        550 |
| app\home\approved\common_screens\reports                                                                                                                        |          8 |        845 |          0 |         84 |        929 |
| app\home\approved\common_screens\reports\s_attendance                                                                                                           |          4 |        525 |          0 |         44 |        569 |
| app\home\approved\common_screens\reports\s_learning                                                                                                             |          4 |        320 |          0 |         40 |        360 |
| app\home\approved\common_screens\student_profile                                                                                                                |          6 |        921 |         11 |         87 |      1,019 |
| app\home\approved\common_screens\user_instances                                                                                                                 |         17 |      2,815 |         73 |        221 |      3,109 |
| app\home\approved\common_screens\user_instances\addition                                                                                                        |          4 |        363 |         14 |         44 |        421 |
| app\home\approved\common_screens\user_instances\attendance                                                                                                      |          3 |        782 |         23 |         46 |        851 |
| app\home\approved\common_screens\user_instances\evaluation                                                                                                      |          5 |        813 |         13 |         59 |        885 |
| app\home\approved\globalAdmin                                                                                                                                   |         64 |      5,607 |        151 |        598 |      6,356 |
| app\home\approved\globalAdmin\ga_admins                                                                                                                         |          5 |        532 |          3 |         52 |        587 |
| app\home\approved\globalAdmin\ga_centers                                                                                                                        |         11 |        901 |         10 |         92 |      1,003 |
| app\home\approved\globalAdmin\ga_centers\ga_center_admins                                                                                                       |          4 |        204 |          0 |         30 |        234 |
| app\home\approved\globalAdmin\ga_config                                                                                                                         |          3 |        161 |          0 |         20 |        181 |
| app\home\approved\globalAdmin\ga_global_admins                                                                                                                  |          6 |        570 |        108 |         67 |        745 |
| app\home\approved\globalAdmin\ga_profile                                                                                                                        |          3 |        159 |          1 |         17 |        177 |
| app\home\approved\globalAdmin\ga_reports                                                                                                                        |         30 |      2,603 |         12 |        280 |      2,895 |
| app\home\approved\globalAdmin\ga_reports\admin_logs                                                                                                             |          4 |        330 |          5 |         43 |        378 |
| app\home\approved\globalAdmin\ga_reports\ga_admins_report                                                                                                       |          5 |        434 |          1 |         45 |        480 |
| app\home\approved\globalAdmin\ga_reports\ga_centers_reports                                                                                                     |          5 |        473 |          1 |         51 |        525 |
| app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports                                                                                                     |          5 |        386 |          3 |         47 |        436 |
| app\home\approved\globalAdmin\ga_reports\ga_students_reports                                                                                                    |          5 |        442 |          1 |         46 |        489 |
| app\home\approved\globalAdmin\ga_reports\ga_teachers_report                                                                                                     |          5 |        437 |          1 |         45 |        483 |
| app\home\approved\globalAdmin\ga_requests                                                                                                                       |          5 |        503 |         17 |         62 |        582 |
| app\home\approved\student                                                                                                                                       |         20 |      1,676 |         27 |        212 |      1,915 |
| app\home\approved\student\organizer_halaqat                                                                                                                     |          4 |        259 |          6 |         40 |        305 |
| app\home\approved\student\s_profile                                                                                                                             |          3 |        149 |          1 |         18 |        168 |
| app\home\approved\student\student_halaqa_information                                                                                                            |          4 |        452 |          8 |         54 |        514 |
| app\home\approved\student\student_halaqat                                                                                                                       |          4 |        273 |          6 |         42 |        321 |
| app\home\approved\student\student_summery                                                                                                                       |          4 |        345 |          6 |         47 |        398 |
| app\home\approved\supervisor                                                                                                                                    |         20 |      2,028 |         53 |        198 |      2,279 |
| app\home\approved\supervisor\supervisor_halaqat                                                                                                                 |          4 |        385 |          7 |         39 |        431 |
| app\home\approved\supervisor\supervisor_profile                                                                                                                 |          3 |        152 |          1 |         19 |        172 |
| app\home\approved\supervisor\supervisor_reports                                                                                                                 |          3 |        147 |          0 |         19 |        166 |
| app\home\approved\supervisor\supervisor_students                                                                                                                |          6 |        940 |         28 |         89 |      1,057 |
| app\home\approved\supervisor\teacher_center_request                                                                                                             |          3 |        197 |          1 |         22 |        220 |
| app\home\approved\teacher                                                                                                                                       |         26 |      2,867 |         14 |        261 |      3,142 |
| app\home\approved\teacher\teacher_center_attendance                                                                                                             |          5 |        535 |          1 |         47 |        583 |
| app\home\approved\teacher\teacher_center_request                                                                                                                |          3 |        197 |          1 |         22 |        220 |
